posted_year,country,experience_level,total_jobs,avg_salary_usd,year_total,yoy_growth_pct
2026,Germany,Mid,405,107356.0,1163,-1.0
2026,Germany,Senior,377,157321.0,1163,-1.0
2026,India,Entry,402,67770.0,1191,-1.0
2026,India,Mid,393,107340.0,1191,-1.0
2026,India,Senior,396,157216.0,1191,-1.0
2026,UK,Entry,404,67385.0,1206,-2.0
2026,UK,Mid,391,107266.0,1206,-2.0
2026,UK,Senior,411,157229.0,1206,-2.0
2026,USA,Entry,393,67531.0,1169,-1.0
2026,USA,Mid,378,107337.0,1169,-1.0
2026,USA,Senior,398,157737.0,1169,-1.0
